Time,Text
12:39,chat board platform selection see chat GPT gave dialog flow but when I was
12:44,talking to my friend he told me why do you use Amazon Alex then I did Google Google told me rasa and dialogflow and
12:51,five other platforms I am now confused I don't know what to use so you have to do
12:56,some research to figure out which platform is the best one for you and
13:02,there are no general answers there are specific answers for your specific need
13:07,dialoflow might be better for a need of some other team rasa might be better so it's like dependent on the individual
13:14,situation therefore you as a NLP engineer or a data scientist need to
13:21,learn how to pick a right platform for your given project or a problem then we
13:27,are going to obviously in this project use dialogflow I will tell you how I pick dialogflow and why I didn't use rasa in dialogflow we have to set up
13:34,something called intent and fulfillment we'll go into the details okay don't worry I know these are all jargons this
13:41,is all actually very easy I will tell you later on then we will build back-end and we will do it in Python and fast API
13:47,on this channel there is a fast API tutorial which you can watch and get your fundamentals clear but yeah that's
13:54,what we are doing we are not using node.js Etc and then in the end we will integrate this chat board into our
14:00,website all right now how did we pick up dialogflow as a platform for this
14:06,particular project so see there are two options whenever you are building any chatbot you can use our readymade
14:14,framework such as dialogflow rasa Etc or you can go for custom implementation where you can use things like open AI
14:21,llms hugging face Bloom foundational model and so on in our case what we want to do is we want to get some help from
14:28,the export and once again that expert is chat GPD so in chatgpt you can say okay
14:34,which platform is better initially I also asked questions should I use open Ai and build the boat it says no doesn't
14:41,make sense that we use open AI so now I'm saying okay dialogue flow and rasa
14:47,which one is better and it will create a comparison table between both the platforms and when I look at it what I
14:54,find is dialog flow gives lot of features out of the box so you have to do less work see here my business is
15:02,facing problem I want to build a chatbot fast and release it soon so time to Market is my first priority although
15:09,rasa gives lot of customization time to Market is not as high as dialogflow time
15:14,to Market means how much time you take to ship your product which is chatbot in
15:20,this case to Market how much time you take to complete this project that is time to Market and it's a very important
15:27,parameter training data since dialogflow is a Google's platform it has vast amount of training data here you have to
15:34,do some manual training a dialogflow is cloud-based so directly you can upload it to Cloud uh here rasa you have to
15:41,build it and you have to kind of host it on your own okay uh so let's see other
15:48,differences Integrations uh once again dialogflow provides better integration
15:53,so if you read this carefully by that I'm not gonna go into all these one by one you can read this and you will
16:00,realize yourself that dialog flow is better for our use case uh we did not use open ai's llm Etc because our
16:08,problem is not like a generative AI type of problem our problem is user is
16:14,placing an order he's asking for tracking Etc it's like very specific actions and for that dialog flow is the
16:20,best then I got some confidence that dialog flow is something I should use
16:25,but I still want to do more research just to get a confirmation that I am making a right choice so naturally I
16:32,would think which companies use dialog flow if dialogflow is not used by uh other companies then it means it would
16:38,have some problem so this is what I do I I always make sure the technology I'm using is mature it is stable it is used
16:46,in the industry okay then I am not doing experiments for that company okay here I
16:51,ask this question and it immediately tells me Domino's is using dialogflow Ticketmaster Air Asia there are so many
16:59,companies which are using dialog flow after reading that after confirming
17:04,these companies are using it I am now damn sure that I have confidence on dialogue flow I can go
17:12,ahead and use it for my project all right let's move on to the next step which is I'm saying this graph folks so
17:17,many people are watching my videos they are not subscribed if you can subscribe to this channel it will mean a lot to me
17:24,it might be a small thing for you but it's gonna make a huge difference in your life all right now let's do our
17:30,dialog flow setup I type dialogflow in Google it is taking me to this
17:36,particular website and here uh it has information on two different versions of
17:42,dialogflow which is CX and Es all right and now I am again confused which one is
17:48,better for my needs okay and these two versions are actually a lot different uh
17:54,in the way they work and they have this featured uh list and when I compared it
18:00,I did not get much idea so what I did is again I went to my consultant friend
18:05,chat GPT I said look I want to build this chatbot I want to have just two
18:11,features my budget is limited you need to tell your conditions your situation to chargpt can you suggest me which is
18:17,better and it is saying dialogflow yes is better because number one cost cost
18:23,of es is much lesser compared to CX if you look at CX uh their pricing is I
18:30,think it's it's bit costly per I think of 10 chat session they charge something
18:38,like two dollar which is kind of costly so I will go with es and you can just
18:45,compare other uh factors why GPD saying you should use ESN not CX okay
18:54,so once you say I have dialogflow es ready to go you can just click on go to
19:00,console or you can just type directly dialogflow.cloud.com
19:06,you will have to login using your Google credential if you don't have a Google account you need to create it and once
19:12,you create that account see let me open this in uh in cognitive mode
19:18,it will say sign in using Google so here you can sign in and then you will come
19:25,here okay now there is this concept of agent so I have
19:30,already built this chat board so it is showing this but let me create a new one so here
19:36,I will say create a new agent so new agent is essentially your new chatbot okay and here my chatbot name is mira
19:44,mira chatbot for food delivery I know it's a long name
19:51,but whatever and then I can just say create
19:56,so when you create this it will use uh Google a cloud actually so this project
20:02,is already on the cloud you are not building locally by the way you are already building this particular
20:08,project on the cloud so it already created a Google Cloud project so if you
20:13,go to settings here uh this is the project ID on Google Cloud
20:18,if you have used Google Cloud before you will get what I'm talking about but anyways my agent or my kind of basic uh
20:25,framework for my chatbot is ready and if you look at intents it has two intents
20:31,so before I go here let's understand what exactly is the intent let's
20:38,understand intense by going over some examples I use this bank called PNC Bank here in
20:45,us and when I call them for any help usually they will give me pre-canned
20:51,list of options such as you want to check your payment recent activity low star stolen card this is not new I think
20:59,you must be experiencing these things for your banking needs and
21:04,these are short of like a fixed pre-can option that you can choose from and
21:10,these five are nothing but the intent okay so let's say if you have an NLP chatbot and it says how can I help you
21:17,you might say I want to make a payment then it will ask you a few other
21:22,questions make a payment here is an intent when a person is coming to a chatbot they might have different intent
21:30,or intention such as they want to make a payment they want to check their balance
21:35,they want to report a stolen card or lost card these are intent so it's a
21:40,fancy word folks but actually you know what this is It's like a main function it's like what do you want to do so you
21:46,have this natural language English from that you want to derive or you want
21:53,to map that sentence with specific action that your back end should take
21:59,okay so that is your intent in another conversation you might say
22:04,can you check my recent activity here checking recent activity is an intent whatever I have outlined here these five
22:11,things these are intent in our case you will say Okay Place me a new order
22:19,so placing New Order is an intent then you can say I want to add two pav Bhajan
22:25,one pizza so when we design the backend you will get more better understanding adding these items into your order is
22:32,also an intent okay then you can say I want to add mango let's see that is intent so these two are same intent this
22:40,is a different intent this is like a pure beginning a new order whereas you are adding items to existing order and
22:46,when you say that's all you mean complete my order so that is your intention I want you to complete my
22:52,order and tell me how much money you are going to charge me so that is order
22:58,complete intent I hope it is clear you can pause this video If you're not
23:03,getting it it's really a simple concept then boot will say okay I place your order in scenario two you might also say
23:11,hey remove Vada power from my order so removing Vodafone okay that means you
23:18,are intending order remove okay so order removes kind of like a function or
23:23,intention uh you might say hey please get rid of pizza you might use a
23:30,different word okay you can say remove it up how get rid of pizza I don't want Biryani all of these mean
23:38,the same intent which is order removed so in dialog flow we will map this we
23:45,will map different English sentences that you can use for a specific intent
23:50,so we'll say these 10 sentences mean this specific intent and don't worry it's a NLP tool so it's not like you
23:57,have to specify all possible options it will figure out using its NLP capability
24:02,then you can say Okay track my order okay here the intent is track order okay
24:10,so it's just a mapping between what user says and what action will be taken by a chat board or your backend now let's
24:17,understand the concept of entity folks if you are following the NLP playlist you already know what entities are but
24:25,let's look at entities in our uh context so here when you say add to pav bhaji and one
24:33,pizza to the order let's say if you make this call to a backend python backend
24:38,python backend got an idea that all right you want to add few items to the
24:45,order but what are those items here the items are pav bhaji and Pisa and the
24:50,other thing that it wants to know is what is the quantity of these items so
24:56,quantities two and one so here these two things are needed so that you can call
25:01,your python function you might have this function add to order where you need two piece of information name of the item
25:08,the quantity so intent alone is not sufficient intent is what order at so using order ad maybe
25:15,you call this function in Python back and add to order and don't worry we'll add all this it will be very clear folks
25:21,if you're confused right now just hold on I will make things very very clear no rocket science here just think intent
25:28,order add means some python backend function we are calling which is add to order and as an argument it needs this
25:34,information how do you get that information you get that through entities so here power budgie is one
25:41,entity which is called food item two and one these are another quantity which is called number it's a system generated
25:48,entity in dialog flow number you can also Define custom entity you can call it okay these are quantity of food Dash
25:56,quantity okay so I think it's now clear let me give you one more example which I
26:01,have discussed in our NLP tutorial playlist before you have this particular sentence there are various entities
26:07,present here okay what are those entities if you remember from NLP playlist just pause this video and make
26:13,a guess I want to test your knowledge all right I guess you made a right guess here Elon Musk is an entity it's a
26:21,person entity Tesla is another entity which is a company then 40 could be another entity
26:27,which is a number or you have this statement for example Michael Bloomberg founded Bloomberg
26:34,so Michael Bloomberg is a person and Bloomberg is a company name we used to use this a lot whenever we discuss this
26:41,a name entity disambiguation problem it is called NAD where you have Bloomberg
26:48,founded Bloomberg so word is same Bloomberg but first one means a person second one means the entity we can say
26:56,Pandey ji founded Pandey Pandey is the name of the restaurant but the owner is
27:02,Pandey so so that's a personal entity this one is a business or a company entity
27:08,yeah so this is a playlist I was talking about if you go to YouTube another playlist uh here in this particular
27:15,video see uh we have a lot of videos where we discuss entities but uh in this
27:21,particular video we did name entity recognization and dialog flow is
27:26,internally using some of these techniques to recognize those entities once you have these entities you can
27:32,call python backend function very easy okay in the Second Use case of tracking order the 9992 number 9922 number that
27:41,you give is a order ID entity and then you're taking uh these two and calling
27:47,some python backend function saying track order and you're giving this order ID so you are kind of getting a sense of
27:54,this whole chatbot development process you have a dialog which is a conversation from conversation you are
27:59,extracting two things intent entity an intent is mapped to some
28:05,python function ndte is nothing but the argument to that python function
28:10,all right by default you get two intents in dialog flow so I clicked on intents
28:16,and I'm seeing these two okay what are these exactly let me check welcome intent here
28:23,there are couple of sections there is contacts events training phrases and tax
28:29,response let's look at training phrases first here it says
28:35,what are the possible prompts that are accepted as
28:40,part of that intent so when here on the top when I say hey yeah
28:46,it is saying greetings how can I assist and you see it matched the intent default welcome intent so whenever I say
28:54,here it will look into the current list of intents and based on the training
28:59,phrases that you have provided it will match that and this response that you're saying
29:05,greetings how can I assist is coming from here you see so in the tax response you have this four possible options and
29:12,randomly it will give you different tax responses so let me try another one I
29:18,will say howdy okay and it will say good day what can I do
29:23,so you can see that here see so you understand I am typing some text
29:29,in chatbot it is matching it with all the intent so I have two intense default
29:34,welcome and default uh fallback and it is matching it with the welcome intent and whatever is the response for the
29:40,welcome intent it will give you that in our chat board we want to start a
29:46,conversation by saying choose from New Order and track order so I will change
29:52,the default welcome intent and I will keep this particular thing same you can say hi hello to begin the
29:58,conversation but in the response I will remove all these
30:03,and I will say this in the second response is just a
30:09,variation by the way so every time you don't want to say the same thing that's why you are giving
30:15,three different variations so user get different experience all the time okay when I hit save sometimes it will take
30:22,some time so you need to wait a little bit now when I say hey yeah
30:28,see it is giving you one of these responses what can I do you can say New Order or track order and by the way all
30:35,these responses I copied from the text file which you can download by clicking on uh the link which you have in a video
30:42,description I have given a zip folder with all the assets and if you expand
30:48,that folder it will be zip file and if you extract that zip file you will get
30:54,this particular directory in that go to dialogflow assets opentraining phrases
31:00,Dot txt and that file has all the three text which I just copy pasted okay that
31:06,is for default welcome intent okay now
31:13,this looks good what I want to do next is
31:18,let's go back click here and check fallback intent
31:23,in the fallback intent uh the purpose of this intent is if
31:29,chatbot doesn't understand what you're saying it will give one of these responses so if you say what is the
31:37,temperature today okay that's not the purpose of this chat but the chatbot
31:42,doesn't know how to handle that it will say sorry could you say again and that is coming from here see one of these
31:49,responses it will randomly pick from one of these responses so what you want to do here is I want to delete all of these
31:56,okay so let me delete and in the default fallback intent
32:02,I want to say this so in the fallback intent I want to say
32:08,I did not understand what you said please choose from New Order or track
32:13,order and when you're placing new order by the way make sure you're you're placing order from only these items
32:20,because remember our menu is limited we have only nine items food items so we
32:25,want to say this to user so that they are kind of guided in their conversation I will hit save and now when I say what
32:34,is the temperature it will say I didn't understand look I don't know how to handle that temperature question but I
32:42,can take your order so you can say the New Order track order and you know whatever okay so my default intent and
32:52,my welcome intent looks good now let's create our first intent which is
32:59,create an intent which is New Order so it is New Order so when you're placing a new order
33:06,uh what kind of uh text you will give okay so let's try it so first you will
33:12,start your conversation in your chat about saying hi it will tell you new order or track order what do you think user will say
33:18,user will either say New Order or track order they might say New Order okay so
33:23,you want to have this as a training phrase here so you can click on ADD training phrases
33:30,and add this as a new order now what else user might say okay they
33:36,can say place a new order maybe okay they might say let me just copy yeah I I
33:43,just put two things here New Order and place New Order if you are looking for more training responses uh what you can
33:50,do is you can go to chat GPT and you can say say this in five different ways and
33:56,chat GPT will help you generate those training phrases and you if you have more training
34:02,phrases it's going to help you okay so it is advice that you have uh as many
34:09,training phrases as you can
34:15,okay uh now let's try this thing so I will say hi and it will say New Order I
34:23,will say New Order okay I have seen that chadji uh not
34:29,charging dialogue flow sometimes takes us time so there is a delay here uh it
34:34,is kind of training the agent uh so once it is trained maybe I will just wait for few seconds and then we'll we'll try
34:41,okay let's try again so see now it worked it is saying New
34:46,Order so here it matches the intent so here you are typing whatever you will type in uh your chatbot then it is
34:53,matching the intent here and if you have any response it will
34:58,give you a response here so what do you want to give in a response so let's add that so here in the text response I want
35:06,to say this okay and once again you have this file folks
35:12,so feel free to copy paste things from the file and then once you learn of course you can have your own responses
35:19,so here when someone says New Order I want to say starting a new order I I'm
35:25,meaning the chatbot and you will guide people so it's it's important that while building a chat board you do some
35:32,guiding you have to give them Clues on what they should type next that way the
35:38,conversation will be very clear so now we have new order so let me start all
35:44,over again and by the way uh I will talk about context later but let's see hi okay and now it is saying
35:51,New Order so you'll say New Order now it is saying see this thing you can start a
35:57,new order by saying things like I want two pizzas one mangola C also specify quantity because you want user to
36:04,specify quantity sometimes they say I want pizzas but how many peas are if you call a pizza shop they will tell you
36:10,right so same thing should happen here you need to Clearly say specify quantity for each of these items okay so once
36:18,again these are the two uh alternate responses uh so at any time
36:24,it will just kind of randomly say see here now it is saying starting a new order all right this looks good now
36:31,let's create the tagging order I only have the board build so I just copy copy
36:37,paste the name here just to save the time okay so track order so tracking
36:43,order will be our new intent and here in the tracking order what are the training phrases so once
36:50,again I'm just going to copy paste from here so you will say one of these three
36:55,things okay so check this status of my order
37:03,that could be one thing then the other one is track order and
37:10,track existing order once again if you want to add more training faces you can say to charge gpts how about
37:17,this and it will generate five different variations so maybe you can include one of these variations I'm feeling lazy
37:24,right now so I'll just say done and when someone says I want to track my order what would be your response as a chat
37:31,board you'll ask for a tracking ID correct okay so let's let's see let's
37:37,start again so I will say hey it is saying New Order or track order when I say track order
37:44,see it is okay once again it it is taking I've seen this it is taking time
37:50,so let's wait for few seconds a few moments later all right after some delay it is working now when you set track
37:57,order it is matching the track order intent but what should be your response your response should be what is your
38:04,tracking ID give me your tracking ID things like that so let's add that in the text response here you can say what
38:11,is the tracking ID or lesser order ID
38:18,uh other things
38:23,you can say I can just copy paste from the other chatbot which I have already built I'm sure please enter your order
38:32,IDs things like that once again you can use chat GPT for this training purpose all
38:40,right now let's test the whole flow again you are saying hi it is saying New Order track order you're saying track
38:47,order now enter your order ID and you will say whatever 4560 whatever now this
38:53,one it is not recognizing so we will look into this a little later but at least now my intent classification is
39:02,done for these two use cases it is able to recognize if I'm talking about tracking the order on New Order
39:09,okay so once again uh you can say fresh order and see it is recognizing it is
39:14,New Order you're talking about new order you can say track my order please
39:21,and okay sometimes I know it behaves weird
39:27,it depends on adding more training phrases but it will look good overall and it is doing this intent
39:34,classification so the question might be how does it work exactly whatever you're typing here uh it doesn't have to be
39:41,exactly the same thing that you gave as a training phrase so there is some kind
39:47,of machine learning here which dialog flow uses so let me go over that what
39:52,happens is um when you give some training phrases so for New Order I gave three training
39:59,phrases New Order Place New Order and fresh order Okay Google's dialog flow
40:04,will generate more training phrases internally so these are the three I gave but internally by using ml model it will
40:12,generate more training phrases and it will train an agent so that tomorrow if someone types something different it can
40:18,still recognize same thing if you say tracking order let's say these are the three training phases I give internally it will which
40:26,create more training phrases and it will train the agent once the agent is trained
40:32,when you give any new text in the chat board on the top right when I say order status please
40:39,the ml model for intent classification will kick in and it will try to classify
40:45,this particular text in one of these indents so you are essentially doing intent classification here
40:52,and it will say you know what this is track order intent for a different use case it will say
40:57,this is a new order intent so this way it can do intent classification using
41:05,its internal model and if you want to know more about it you can just go to
41:11,chatgpt and you can say what classification model does
41:16,dialog flow uses for intent classification and it will give you some
41:24,information okay so see here it is using irm like intent
41:31,recognization model uh and here it uses some of the annual natural language
41:37,understanding techniques for doing that so you can do some reading on this one but so far
41:44,uh things are looking good as far as our basic basic workflow is concerned now
41:49,let's improve uh some of our intents and add new ones let's look at the flow of the
41:56,conversation so if you go back to our presentation okay you will notice that
42:03,at some point we had this different scenarios so the first scenario that we had was this how can I help New Order
42:10,what would you like to order uh we covered up till this point now user will say I want to power bhaji
42:18,and add pizza so let's handle this particular dialogue and for that I will
42:25,create a new intent called order dot add so you are adding items to order
42:33,okay so we did first level classification New Order track order now if you have a new order you are adding
42:40,items to the order and how do you add that I will have to give different training expiration okay and those
42:47,training expressions are user might say give me two plates of show layer and one
42:54,cheese piece I know you're getting water in your mouth but ah now let's check this what is
43:02,happening here is 2 and 1 it is already recognizing them as a entity which is
43:10,very good so 2 and 1 are called system entity sys DOT number these are default
43:16,entities for example email phone number these are all generic entities which dialog flow can recognize on its own
43:23,okay let's give another training phrase what do you do where by the way when you
43:29,place an order online what kind of statement you say just add all those statements here I like to order two
43:35,plates of chole one cheese pizza three mango let's see now in this case it did
43:40,not recognize this one as a CIS number but that's okay you can double click and
43:46,you can just say sis number see these are all numbers so let's
43:52,recognize this also as a CIS number and here we want this to be one single
44:00,entity so here it says number one and two I don't want that so you will just
44:06,left Mouse click highlight it and just say sis number and you can also type
44:11,this this DOT number see this is how you assign entities within the statement so
44:18,I have these two uh training phrases let's hit save and let's create an
44:24,entity for food item because see the quantity it is already recognizing but
44:30,food item is something that we have to Define on our own for that I will go to entities
44:35,I will create the new entity I will call it food item
44:41,and I will Define synonyms I will do also fuzzy matching by the way fuzzy matching means
44:47,if it is Loosely matching then also you know match it so see for Z matching is a
44:54,type of parameters which will approximately match and here the entity
45:00,that you want to add is let's say I only have those entities here so I'm
45:08,just gonna copy paste just to save some item uh time on recording so how would you say
45:14,you can say you can also say Mumbai maybe Mumbai
45:22,foreign
45:32,you can just say chole you can say
45:39,C double actually you can say chole Puri instead of you
45:45,can also say Puri chole okay variety of synonyms that you can
45:52,give all right so I'm not going to waste the time here and I will just add it and
45:57,I'll be back after few seconds okay there was some manual work but
46:04,finally I have defined all my synonyms once again you can use chat GPT for
46:10,synonym let's say you want synonyms for ravados I give me synonyms for our Dosa
46:18,and it will give you that so you can just copy paste these things into here and just hit this
46:26,okay now our food item entity is defined let's go back to intent and in the order
46:34,add let's start assigning that entity so here just left Mouse click
46:41,assign that a food item so I will just say this is food item
46:47,cheese pizza is also a food item mango let's see is also a food item this is
46:55,how you assign and it is same thing here you have to do this in every training
47:00,phase if you do your setup in a proper way your chat board will work very
47:06,smoothly so you have to be careful and not mess it up here sometimes people assign a wrong entity and they see weird
47:13,results and they are like oh this is not working well it's a setup issue I added
47:18,all the training phrases you can see there are two Page worth of training phrases here
47:24,and I assign the food items here so here you'll just click on it for
47:31,example like click and then when you assign that entity it will do the work
47:37,so many times when you're adding a training phase it will not automatically
47:42,recognize those two so the way you do it is same method highlight it then just
47:49,select food item then highlight the whole item safe food item this is how you assign
47:55,entities in your statements if you notice I also put some additional
48:01,statements such as additionally I would like to add to Mango nursing because in the conversation people will say order
48:07,me to chole bhature and one Samosa and then after some time they say Okay add
48:13,to pizza or additionally I need mango let's see I have added those kind of
48:18,statements here as well in the same intent you can go to chat GPT you can
48:24,say this is my phrase and say this in five different ways and you can use all
48:30,of these training phrases as well it will be some manual work but trust me it is very well worth it and all of these
48:37,training phrases are available in the file that I'm going to give you so all you have to do is copy paste and maybe
48:42,you add a couple of more training phrases as well on your own then hit
48:49,save and now we are all set how do you test it well you have the agent here so
48:56,let's start a conversation you'll say hi New Order and then just say give me two
49:07,and one plate of samosa and now see what happened is it first of
49:15,all recognized that as order dot add intent so that part worked
49:21,pretty well also in terms of parameter see food item whatever Dosa and Samosa were recognized
49:27,as a food item and two and one were number
49:33,after doing this you can say hey add one mango let's see two
49:40,and see once again order dot add one mangola C so mangoes is recognized as a
49:47,food item and one is a number you can see the entire response uh in terms of
49:53,your Json API response this is something we'll be using when we write our fast API backend but here you can see food
49:59,atom is Mangalore C this is one and so on so this is working as expected now
50:07,what can happen is the conversations are not perfect they will say hey add pizzas
50:14,well but how many pizzas they didn't specify it okay and here
50:20,see the chatbot is not smart enough it should say how many pizzas you want okay
50:25,or specify food quantity for this you have to make both of these a required
50:32,parameter okay so here go down here and just make them require parameter and if
50:38,they are not specifying any parameter you need to have a prompt you can say
50:45,please clearly specify a food quantity
50:52,and you can just give example uh you know I want
50:57,two pizzas or three chole but or you can say it using
51:04,word you don't have to specify the number all the time so that is the prompt
51:13,for the food item you can say please
51:19,specify food item from this list and that list is the list we can get it
51:27,from the default intent I think okay uh not not default I think in new DOT
51:34,order we supplied that list so you can say please specify
51:40,it from this list now when say hey add pizzas
51:46,I previously forgot to save it so whenever you are adding something make sure you hit the save now when I say hey
51:52,add pizzas it will say please specify the food quantity and without that it's
51:58,not gonna work you can say hey I want three Samosa but let's say I've forgot
52:04,to write samosa I want 3 what
